movie_id,title,imdbId,tmdbId
1,Toy Story (1995),0114709,862
2,GoldenEye (1995),0113189,710
3,Four Rooms (1995),0113101,5
4,Get Shorty (1995),0113161,8012
5,Copycat (1995),0112722,1710
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0115012,37557
7,Twelve Monkeys (1995),0114746,63
8,Babe (1995),0112431,9598
9,Dead Man Walking (1995),0112818,687
10,Richard III (1995),0114279,31174
11,Seven (Se7en) (1995),0114369,807
12,"Usual Suspects, The (1995)",0114814,629
13,Mighty Aphrodite (1995),0113819,11448
14,"Postino, Il (1994)",0110877,11010
15,Mr. Holland's Opus (1995),0113862,2054
16,French Twist (Gazon maudit) (1995),0113149,4482
17,From Dusk Till Dawn (1996),0116367,755
18,"White Balloon, The (1995)",0112445,46785
19,Antonia's Line (1995),0112379,880
20,Angels and Insects (1995),0112365,8447
21,Muppet Treasure Island (1996),0117110,10874
22,Braveheart (1995),0112573,197
23,Taxi Driver (1976),0075314,103
24,Rumble in the Bronx (1995),0113326,33542
25,"Birdcage, The (1996)",0115685,11000
26,"Brothers McMullen, The (1995)",0112585,16388
27,Bad Boys (1995),0112442,9737
28,Apollo 13 (1995),0112384,568
29,Batman Forever (1995),0112462,414
30,Belle de jour (1967),0061395,649
31,Crimson Tide (1995),0112740,8963
32,Crumb (1994),0109508,26564
33,Desperado (1995),0112851,8068
34,"Doom Generation, The (1995)",0112887,13552
35,Free Willy 2: The Adventure Home (1995),0113114,9073
36,Mad Love (1995),0113729,47608
37,Nadja (1994),0110620,34574
38,"Net, The (1995)",0113957,1642
39,Strange Days (1995),0114558,281
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0114682,9090
41,Billy Madison (1995),0112508,11017
42,Clerks (1994),0109445,2292
43,Disclosure (1994),0109635,8984
44,Dolores Claiborne (1994),0109642,11929
45,Eat Drink Man Woman (1994),0111797,10451
46,Exotica (1994),0109759,20156
47,Ed Wood (1994),0109707,522
48,Hoop Dreams (1994),0110057,14275
49,I.Q. (1994),0110099,11777
50,Star Wars (1977),0076759,11
51,Legends of the Fall (1994),0110322,4476
52,"Madness of King George, The (1994)",0110428,11318
53,Natural Born Killers (1994),0110632,241
54,Outbreak (1995),0114069,6950
55,"Professional, The (1994)",0110413,101
56,Pulp Fiction (1994),0110912,680
57,Priest (1994),0110889,40156
58,Quiz Show (1994),0110932,11450
59,Three Colors: Red (1994),0111495,110
60,Three Colors: Blue (1993),0108394,108
61,Three Colors: White (1994),0111507,109
62,Stargate (1994),0111282,2164
63,"Santa Clause, The (1994)",0111070,11395
64,"Shawshank Redemption, The (1994)",0111161,278
65,What's Eating Gilbert Grape (1993),0108550,1587
66,While You Were Sleeping (1995),0114924,2064
