movie_id,title,imdbId,tmdbId
1,Toy Story (1995),0114709,862
2,Jumanji (1995),0113497,8844
3,Grumpier Old Men (1995),0113228,15602
4,Waiting to Exhale (1995),0114885,31357
5,Father of the Bride Part II (1995),0113041,11862
6,Heat (1995),0113277,949
7,Sabrina (1995),0114319,11860
8,Tom and Huck (1995),0112302,45325
9,Sudden Death (1995),0114576,9091
10,GoldenEye (1995),0113189,710
11,"American President, The (1995)",0112346,9087
12,Dracula: Dead and Loving It (1995),0112896,12110
13,Balto (1995),0112453,21032
14,Nixon (1995),0113987,10858
15,Cutthroat Island (1995),0112760,1408
16,Casino (1995),0112641,524
17,Sense and Sensibility (1995),0114388,4584
18,Four Rooms (1995),0113101,5
19,Ace Ventura: When Nature Calls (1995),0112281,9273
20,Money Train (1995),0113845,11517
21,Get Shorty (1995),0113161,8012
22,Copycat (1995),0112722,1710
23,Assassins (1995),0112401,9691
24,Powder (1995),0114168,12665
25,Leaving Las Vegas (1995),0113627,451
26,Othello (1995),0114057,16420
27,Now and Then (1995),0114011,9263
28,Persuasion (1995),0114117,17015
29,"City of Lost Children, The (1995)",0112682,902
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0115012,37557
31,Dangerous Minds (1995),0112792,9909
32,Twelve Monkeys (1995),0114746,63
33,Wings of Courage (1995),0114952,78802
34,Babe (1995),0112431,9598
35,Carrington (1995),0112637,47018
36,Dead Man Walking (1995),0112818,687
37,Across the Sea of Time (1995),0112286,139405
38,It Takes Two (1995),0113442,33689
39,Clueless (1995),0112697,9603
40,"Cry, the Beloved Country (1995)",0112749,34615
41,Richard III (1995),0114279,31174
42,Dead Presidents (1995),0112819,11443
43,Restoration (1995),0114272,35196
44,Mortal Kombat (1995),0113855,9312
45,To Die For (1995),0114681,577
46,How to Make an American Quilt (1995),0113347,11861
47,Seven (Se7en) (1995),0114369,807
48,Pocahontas (1995),0114148,10530
49,When Night Is Falling (1995),0114916,8391
50,"Usual Suspects, The (1995)",0114814,629
51,Guardian Angel (1994),0109950,117164
52,Mighty Aphrodite (1995),0113819,11448
53,Lamerica (1994),0110299,49133
54,"Big Green, The (1995)",0112499,26441
55,Georgia (1995),0113158,97406
56,Kids of the Round Table (1995),0113541,124057
57,Home for the Holidays (1995),0113321,9089
58,"Postino, Il (The Postman) (1994)",0110877,11010
59,"Confessional, The (Le Confessionnal) (1995)",0112714,99040
60,"Indian in the Cupboard, The (1995)",0113419,11359
61,Eye for an Eye (1996),0116260,17182
62,Mr. Holland's Opus (1995),0113862,2054
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0116126,10607
64,Two if by Sea (1996),0118002,19760
65,Bio-Dome (1996),0115683,9536
66,Lawnmower Man 2: Beyond Cyberspace (1996),0116839,11525
67,Two Bits (1995),0114753,40628
68,French Twist (Gazon maudit) (1995),0113149,4482
69,Friday (1995),0113118,10634
70,From Dusk Till Dawn (1996),0116367,755
71,Fair Game (1995),0113010,11859
72,Kicking and Screaming (1995),0113537,28387
73,"Misérables, Les (1995)",0113828,48750
74,Bed of Roses (1996),0115644,20927
75,Big Bully (1996),0115676,36929
76,Screamers (1995),0114367,9102
77,Nico Icon (1995),0113973,124626
78,"Crossing Guard, The (1995)",0112744,27526
79,"Juror, The (1996)",0116731,9623
80,"White Balloon, The (Badkonake Sefid ) (1995)",0112445,46785
81,Things to Do in Denver when You're Dead (1995),0114660,400
82,Antonia's Line (Antonia) (1995),0112379,880
83,Once Upon a Time... When We Were Colored (1995),0114039,146599
84,Last Summer in the Hamptons (1995),0113612,188588
85,Angels and Insects (1995),0112365,8447
86,White Squall (1996),0118158,10534
87,Dunston Checks In (1996),0116151,17414
88,Black Sheep (1996),0115697,13997
89,Nick of Time (1995),0113972,2086
90,"Journey of August King, The (1995)",0113490,61548
92,Mary Reilly (1996),0117002,9095
93,Vampire in Brooklyn (1995),0114825,12158
94,Beautiful Girls (1996),0115639,9283
95,Broken Arrow (1996),0115759,9208
96,In the Bleak Midwinter (1995),0113403,40154
97,"Hate (Haine, La) (1995)",0113247,406
98,Shopping (1994),0111173,45549
99,Heidi Fleiss: Hollywood Madam (1995),0113283,63076
100,City Hall (1996),0115907,11062
101,Bottle Rocket (1996),0115734,13685
102,Mr. Wrong (1996),0117102,47475
103,Unforgettable (1996),0118040,2045
104,Happy Gilmore (1996),0116483,9614
105,"Bridges of Madison County, The (1995)",0112579,688
106,Nobody Loves Me (Keiner liebt mich) (1994),0110251,11907
107,Muppet Treasure Island (1996),0117110,10874
108,Catwalk (1995),0112646,89333
109,Headless Body in Topless Bar (1995),0113276,96357
110,Braveheart (1995),0112573,197
111,Taxi Driver (1976),0075314,103
112,Rumble in the Bronx (1995),0113326,33542
113,Before and After (1996),0115645,43566
114,Margaret's Museum (1995),0113774,71754
115,Happiness Is in the Field (1995),0112556,43612
116,Anne Frank Remembered (1995),0112373,51352
117,"Young Poisoner's Handbook, The (1995)",0115033,16934
118,If Lucy Fell (1996),0116606,10324
119,"Steal Big, Steal Little (1995)",0114536,78406
120,Race the Sun (1996),0117427,55731
121,"Boys of St. Vincent, The (1993)",0106473,32119
122,Boomerang (1992),0103859,11066
123,Chungking Express (1994),0109424,11104
124,"Star Maker, The (Uomo delle stelle, L') (1995)",0114808,37975
125,Flirting With Disaster (1996),0116324,2074
126,"NeverEnding Story III, The (1994)",0110647,27793
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",0111055,44284
128,Jupiter's Wife (1994),0110217,290157
129,Pie in the Sky (1995),0114131,110972
130,Angela (1995),0112364,32622
131,Frankie Starlight (1995),0113107,73067
132,Jade (1995),0113451,11863
133,Nueba Yol (1995),0114015,55475
134,Sonic Outlaws (1995),0114500,124636
135,Down Periscope (1996),0116130,9101
136,From the Journals of Jean Seberg (1995),0113125,123360
137,Man of the Year (1995),0113756,5757
138,"Neon Bible, The (1995)",0113952,39428
139,Target (1995),0114618,124639
140,Up Close and Personal (1996),0118055,9302
141,"Birdcage, The (1996)",0115685,11000
142,Shadows (Cienie) (1988),0094878,525153
143,Gospa (1995),0113200,249882
144,"Brothers McMullen, The (1995)",0112585,16388
145,Bad Boys (1995),0112442,9737
146,"Amazing Panda Adventure, The (1995)",0112342,30765
147,"Basketball Diaries, The (1995)",0112461,10474
148,"Awfully Big Adventure, An (1995)",0112427,22279
149,Amateur (1994),0109093,30157
150,Apollo 13 (1995),0112384,568
151,Rob Roy (1995),0114287,11780
152,"Addiction, The (1995)",0112288,34996
153,Batman Forever (1995),0112462,414
154,Belle de jour (1967),0061395,649
155,Beyond Rangoon (1995),0112495,1873
156,Blue in the Face (1995),0112541,5894
157,Canadian Bacon (1994),0109370,1775
158,Casper (1995),0112642,8839
159,Clockers (1995),0112688,20649
160,Congo (1995),0112715,10329
161,Crimson Tide (1995),0112740,8963
162,Crumb (1994),0109508,26564
163,Desperado (1995),0112851,8068
164,Devil in a Blue Dress (1995),0112857,8512
165,Die Hard: With a Vengeance (1995),0112864,1572
166,"Doom Generation, The (1995)",0112887,13552
167,Feast of July (1995),0113044,259209
168,First Knight (1995),0113071,6520
169,Free Willy 2: The Adventure Home (1995),0113114,9073
170,Hackers (1995),0113243,10428
171,Jeffrey (1995),0113464,17447
172,Johnny Mnemonic (1995),0113481,9886
173,Judge Dredd (1995),0113492,9482
174,Jury Duty (1995),0113500,19326
175,Kids (1995),0113540,9344
176,Living in Oblivion (1995),0113677,9071
177,Lord of Illusions (1995),0113690,8973
178,Love & Human Remains (1993),0107447,15730
179,Mad Love (1995),0113729,47608
180,Mallrats (1995),0113749,2293
181,Mighty Morphin Power Rangers: The Movie (1995),0113820,9070
182,Moonlight and Valentino (1995),0113851,68274
183,Mute Witness (1994),0110604,48787
184,Nadja (1994),0110620,34574
185,"Net, The (1995)",0113957,1642
186,Nine Months (1995),0113986,11472
187,Party Girl (1995),0114095,36196
188,"Prophecy, The (1995)",0114194,11980
189,Reckless (1995),0114241,58372
190,Safe (1995),0114323,32646
191,"Scarlet Letter, The (1995)",0114345,10533
192,"Show, The (1995)",0114435,56088
