movie_id,title,imdbId
0,Toy Story (1995),0114709
1,Jumanji (1995),0113497
2,Grumpier Old Men (1995),0113228
3,Waiting to Exhale (1995),0114885
4,Father of the Bride Part II (1995),0113041
5,Heat (1995),0113277
6,Sabrina (1995),0114319
7,Tom and Huck (1995),0112302
8,Sudden Death (1995),0114576
9,GoldenEye (1995),0113189
10,"American President, The (1995)",0112346
11,Dracula: Dead and Loving It (1995),0112896
12,Balto (1995),0112453
13,Nixon (1995),0113987
14,Cutthroat Island (1995),0112760
15,Casino (1995),0112641
16,Sense and Sensibility (1995),0114388
17,Four Rooms (1995),0113101
18,Ace Ventura: When Nature Calls (1995),0112281
19,Money Train (1995),0113845
20,Get Shorty (1995),0113161
21,Copycat (1995),0112722
22,Assassins (1995),0112401
23,Powder (1995),0114168
24,Leaving Las Vegas (1995),0113627
25,Othello (1995),0114057
26,Now and Then (1995),0114011
27,Persuasion (1995),0114117
28,"City of Lost Children, The (1995)",0112682
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0115012
30,Dangerous Minds (1995),0112792
31,Twelve Monkeys (1995),0114746
32,Wings of Courage (1995),0114952
33,Babe (1995),0112431
34,Carrington (1995),0112637
35,Dead Man Walking (1995),0112818
36,Across the Sea of Time (1995),0112286
37,It Takes Two (1995),0113442
38,Clueless (1995),0112697
39,"Cry, the Beloved Country (1995)",0112749
40,Richard III (1995),0114279
41,Dead Presidents (1995),0112819
42,Restoration (1995),0114272
43,Mortal Kombat (1995),0113855
44,To Die For (1995),0114681
45,How to Make an American Quilt (1995),0113347
46,Seven (Se7en) (1995),0114369
47,Pocahontas (1995),0114148
48,When Night Is Falling (1995),0114916
49,"Usual Suspects, The (1995)",0114814
50,Guardian Angel (1994),0109950
51,Mighty Aphrodite (1995),0113819
52,Lamerica (1994),0110299
53,"Big Green, The (1995)",0112499
54,Georgia (1995),0113158
55,Kids of the Round Table (1995),0113541
56,Home for the Holidays (1995),0113321
57,"Postino, Il (The Postman) (1994)",0110877
58,"Confessional, The (Le Confessionnal) (1995)",0112714
59,"Indian in the Cupboard, The (1995)",0113419
60,Eye for an Eye (1996),0116260
61,Mr. Holland's Opus (1995),0113862
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0116126
63,Two if by Sea (1996),0118002
64,Bio-Dome (1996),0115683
65,Lawnmower Man 2: Beyond Cyberspace (1996),0116839
66,Two Bits (1995),0114753
67,French Twist (Gazon maudit) (1995),0113149
68,Friday (1995),0113118
69,From Dusk Till Dawn (1996),0116367
70,Fair Game (1995),0113010
71,Kicking and Screaming (1995),0113537
72,"Misérables, Les (1995)",0113828
73,Bed of Roses (1996),0115644
74,Big Bully (1996),0115676
75,Screamers (1995),0114367
76,Nico Icon (1995),0113973
77,"Crossing Guard, The (1995)",0112744
78,"Juror, The (1996)",0116731
79,"White Balloon, The (Badkonake Sefid ) (1995)",0112445
80,Things to Do in Denver when You're Dead (1995),0114660
81,Antonia's Line (Antonia) (1995),0112379
82,Once Upon a Time... When We Were Colored (1995),0114039
83,Last Summer in the Hamptons (1995),0113612
84,Angels and Insects (1995),0112365
85,White Squall (1996),0118158
86,Dunston Checks In (1996),0116151
87,Black Sheep (1996),0115697
88,Nick of Time (1995),0113972
89,"Journey of August King, The (1995)",0113490
90,Mary Reilly (1996),0117002
91,Vampire in Brooklyn (1995),0114825
92,Beautiful Girls (1996),0115639
93,Broken Arrow (1996),0115759
94,In the Bleak Midwinter (1995),0113403
95,"Hate (Haine, La) (1995)",0113247
96,Shopping (1994),0111173
97,Heidi Fleiss: Hollywood Madam (1995),0113283
98,City Hall (1996),0115907
99,Bottle Rocket (1996),0115734
100,Mr. Wrong (1996),0117102
101,Unforgettable (1996),0118040
102,Happy Gilmore (1996),0116483
103,"Bridges of Madison County, The (1995)",0112579
104,Nobody Loves Me (Keiner liebt mich) (1994),0110251
105,Muppet Treasure Island (1996),0117110
106,Catwalk (1995),0112646
107,Headless Body in Topless Bar (1995),0113276
108,Braveheart (1995),0112573
109,Taxi Driver (1976),0075314
110,Rumble in the Bronx (1995),0113326
111,Before and After (1996),0115645
112,Margaret's Museum (1995),0113774
113,Happiness Is in the Field (1995),0112556
114,Anne Frank Remembered (1995),0112373
115,"Young Poisoner's Handbook, The (1995)",0115033
116,If Lucy Fell (1996),0116606
117,"Steal Big, Steal Little (1995)",0114536
118,Race the Sun (1996),0117427
119,"Boys of St. Vincent, The (1993)",0106473
120,Boomerang (1992),0103859
121,Chungking Express (1994),0109424
122,"Star Maker, The (Uomo delle stelle, L') (1995)",0114808
123,Flirting With Disaster (1996),0116324
124,"NeverEnding Story III, The (1994)",0110647
125,"Silence of the Palace, The (Saimt el Qusur) (1994)",0111055
126,Jupiter's Wife (1994),0110217
127,Pie in the Sky (1995),0114131
128,Angela (1995),0112364
129,Frankie Starlight (1995),0113107
130,Jade (1995),0113451
131,Nueba Yol (1995),0114015
132,Sonic Outlaws (1995),0114500
133,Down Periscope (1996),0116130
134,From the Journals of Jean Seberg (1995),0113125
135,Man of the Year (1995),0113756
136,"Neon Bible, The (1995)",0113952
137,Target (1995),0114618
138,Up Close and Personal (1996),0118055
139,"Birdcage, The (1996)",0115685
140,Shadows (Cienie) (1988),0094878
141,Gospa (1995),0113200
142,"Brothers McMullen, The (1995)",0112585
143,Bad Boys (1995),0112442
144,"Amazing Panda Adventure, The (1995)",0112342
145,"Basketball Diaries, The (1995)",0112461
146,"Awfully Big Adventure, An (1995)",0112427
147,Amateur (1994),0109093
148,Apollo 13 (1995),0112384
149,Rob Roy (1995),0114287
150,"Addiction, The (1995)",0112288
151,Batman Forever (1995),0112462
152,Belle de jour (1967),0061395
153,Beyond Rangoon (1995),0112495
154,Blue in the Face (1995),0112541
